INDEX_NR,INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,LATITUDE,LONGITUDE,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE_STATE,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,ING_ENG1,STR_ENG2,DAM_ENG2,ING_ENG2,STR_ENG3,DAM_ENG3,ING_ENG3,STR_ENG4,DAM_ENG4,ING_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,BIRD_BAND_NUMBER,SPECIES_ID,SPECIES,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENTS,REPORTED_NAME,REPORTED_TITLE,SOURCE,PERSON,LUPDATE,TRANSFER
608242,6/22/1996,6,1996,,,KSMF,SACRAMENTO INTL,38.69542,-121.59077,,CA,AWP,,,UAL,UNITED AIRLINES,,1768,B-737-300,148,24,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Take-off Run,0.0,,0.0,,,,,,,,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBM,Unknown bird - medium,BLOOD ON L FWD NOSE AREA SEEN BY CREW AFTER LDG.,False,False,Unknown,,1,Medium,,,/Legacy Record=100001/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608243,6/26/1996,6,1996,,,KDEN,DENVER INTL AIRPORT,39.85841,-104.667,,CO,ANM,,,UAL,UNITED AIRLINES,,1845,B-737-300,148,24,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Take-off Run,0.0,,0.0,,,,,,,,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBM,Unknown bird - medium,CREW SUSPECTED BIRDSTRIKE ON T/O. LOOKED LIKE IT MIGHT HAVE HIT L ENG. LOGBOOK ENTRY. NOTIFIED DISPATCH.,False,False,Unknown,,1,Medium,,,/Legacy Record=100002/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608244,7/1/1996,7,1996,,,KOMA,EPPLEY AIRFIELD,41.30252,-95.89417,,NE,ACE,,,UAL,UNITED AIRLINES,,306,B-757-200,148,26,34.0,40.0,A,4.0,D,2.0,1.0,1.0,,,Take-off Run,0.0,,0.0,,,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBM,Unknown bird - medium,BIRDSTRIKE AT ROTATION. INSPN. NO DMG.,False,False,Unknown,,1,Medium,,,/Legacy Record=100003/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608245,7/1/1996,7,1996,,,KIAD,WASHINGTON DULLES INTL ARPT,38.94453,-77.45581,,DC,AEA,,,UAL,UNITED AIRLINES,,510,A-320,04A,03,23.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Approach,1000.0,,,,,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,UNKBM,Unknown bird - medium,"ON FINAL APCH, STRIKE UNDER THE NOSE OF THE COCKPIT. NO DAMAGE. LOGBOOK ENTRY. MX INSPN.",False,False,Unknown,,1,Medium,,,/Legacy Record=100004/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608246,7/1/1996,7,1996,,,KLGA,LA GUARDIA ARPT,40.77724,-73.87261,,NY,AEA,,,UAL,UNITED AIRLINES,,677,A-320,04A,03,23.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Climb,5000.0,,,,,,,,,,True,True,M,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,,UNKBM,Unknown bird - medium,"LOUD NOISE WAS HEARD DURING CLIMBOUT THAT SOUNDED LIKE A POSSIBLE BIRDSTRIKE.  ABOUT 2 MINS LATER, A SMELL WAS NOTIED FROM AIRVENTS IN COCKPIT. MX FOUND  HAND-SIZED DENT ON R SIDE OF COCKPIT.",False,False,Unknown,,1,Medium,,,/Legacy Record=100005/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608247,5/6/1991,5,1991,,Day,KSAT,SAN ANTONIO INTL,29.53369,-98.46978,3,TX,ASW,,,AAL,AMERICAN AIRLINES,N977AA,,B-727-100,148,10,34.0,10.0,A,4.0,D,3.0,5.0,6.0,5.0,,Take-off Run,0.0,100.0,0.0,No Cloud,None,,,,,,False,False,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,UNKBM,Unknown bird - medium,NO DAMAGE/INJURY. TIME = 1125 GMT,False,False,No,1,1,Medium,,,SOURCE = FAA FROM 3830 /Legacy Record=100006/,REDACTED,REDACTED,Other,Pilot,11/21/1997,False
608248,11/5/1993,11,1993,,Dawn,KMCI,KANSAS CITY INTL,39.29761,-94.71391,1L,MO,ACE,,,AMW,AIR MIDWEST,,,BE-1900,123,27,31.0,4.0,A,3.0,C,2.0,4.0,4.0,,,Approach,1500.0,220.0,,Overcast,None,,,,,,False,True,M?,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,,None,,,UNKBM,Unknown bird - medium,ATIS WARNING. STRUCK NUMEROUS OTHER PARTS OF A/C. TIME = 1245UTC.,False,False,Yes,More than 100,11-100,Medium,,,"THIS MAY BE DUPL STRIKE FOR AIR MIDWEST, BUT TIMES ARE VERY DIFFERENT /Legacy Record=100007/",REDACTED,REDACTED,FAA Form 5200-7,,5/13/1998,False
608249,7/2/1995,7,1995,,,KMCI,KANSAS CITY INTL,39.29761,-94.71391,,MO,ACE,,,UAL,UNITED AIRLINES,,484,B-737-500,148,33,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Landing Roll,0.0,,0.0,,,,,,,,False,False,N,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBM,Unknown bird - medium,"STRIKE ON NOSE IMMEDIATELY AFTER LANDING. STRUCK NOSE, BOUNCED OFF WINDSHIELD AND WENT OVER THE TOP OF THE A/C. NO VISIBLE SIGNS OF DAMAGE.",False,False,Unknown,,1,Medium,,,/Legacy Record=100008/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608250,9/19/1990,9,1990,,Day,KDFW,DALLAS/FORT WORTH INTL ARPT,32.89595,-97.0372,,TX,ASW,,,AAL,AMERICAN AIRLINES,,,MD-80,583,37,34.0,10.0,A,4.0,D,2.0,5.0,5.0,,,Approach,100.0,135.0,,Some Cloud,None,,,,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBS,Unknown bird - small,HIT 2. SPARROW OR OTHER SMALL SIZE BIRD. NO DAMAGE.,False,False,No,2-10,2-10,Small,,,/Legacy Record=100009/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,1/21/1999,False
608251,5/3/1992,5,1992,,Day,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,37.36186,-121.92901,30L,CA,AWP,,,WWM,WINGS WEST,N690NE,,MERLIN IV,915,95,19.0,4.0,A,2.0,C,2.0,4.0,4.0,,,Landing Roll,0.0,,0.0,Some Cloud,None,,,,,,False,False,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,Z6007,American robin,NO DAMAGE,False,False,Yes,1,1,Small,,,A/C = FAIRCHILD METRO II (5/8/14 UPDATED A/C) /Legacy Record=100010/,REDACTED,REDACTED,FAA Form 5200-7,,5/8/2014,False
